,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,x,y,r,degree,color,LF
0,output,L,0,20201119111513,0,2,0,10,310.0,260.0,71.34423592694787,-5.63068275763526,green,F
1,output,L,0,20201119111513,0,2,1,10,381.0,253.0,71.34423592694787,-5.63068275763526,green,F
2,output,L,0,20201119111513,0,2,2,10,464.0,252.0,83.00602387778854,-0.6902771978650786,green,F
3,output,L,0,20201119111513,0,2,3,10,639.0,238.0,175.55910685578235,-4.573921259900861,green,F
4,output,L,0,20201119111513,0,2,4,10,733.0,236.0,94.02127418834527,-1.2188752351312977,green,F
5,output,L,0,20201119111513,0,2,5,10,828.0,235.0,95.00526301210897,-0.6030911943805325,green,F
6,output,L,0,20201119111513,0,2,6,10,1034.0,230.0,10000.0,10000.0,OFF,-
7,output,L,0,20201119111513,0,2,7,10,1130.0,234.0,96.08329719571451,2.3859440303888126,green,F
8,output,L,0,20201119111513,0,2,8,10,1238.0,230.0,108.07404868885037,-2.1210963966614536,green,F
9,output,L,0,20201119111513,0,2,9,10,1477.0,214.0,239.5349661322956,-3.8299859084476005,green,F
10,output,L,0,20201119111513,1,2,0,9,322,702,73.24616030891995,4.69868051729944,green,F
11,output,L,0,20201119111513,1,2,1,9,394,709,72.3394774656273,5.552971033036804,green,F
12,output,L,0,20201119111513,1,2,2,9,638,726,244.59149617270018,3.9854786130516846,green,F
13,output,L,0,20201119111513,1,2,3,9,728,730,90.08884503644167,2.5448043798130953,green,F
14,output,L,0,20201119111513,1,2,4,9,823,735,95.13148795220224,3.0127875041833403,green,F
15,output,L,0,20201119111513,1,2,5,9,1018,743,195.1640335717624,2.3492786474801295,green,F
16,output,L,0,20201119111513,1,2,6,9,1113,743,95.0,0.0,green,F
17,output,L,0,20201119111513,1,2,7,9,1206,743,93.0,0.0,green,F
18,output,L,0,20201119111513,1,2,8,9,1410,749,204.08821622033938,1.6846843178962914,green,F
19,output,L,1,20201119111615,0,2,0,10,319,434,69.02897942168927,-1.6602823689828057,green,F
20,output,L,1,20201119111615,0,2,1,10,388,432,69.02897942168927,-1.6602823689828055,green,F
21,output,L,1,20201119111615,0,2,2,10,467,430,79.02531240052139,-1.4502162909334282,green,F
22,output,L,1,20201119111615,0,2,3,10,641,427,174.0258601472781,-0.98776039963981,green,F
23,output,L,1,20201119111615,0,2,4,10,732,426,91.00549433962765,-0.6295986084102668,green,F
24,output,L,1,20201119111615,0,2,5,10,828,426,96.0,0.0,green,F
25,output,L,1,20201119111615,0,2,6,10,1032,428,204.00980368599937,0.561705332566547,green,F
26,output,L,1,20201119111615,0,2,7,10,1131,430,99.02019995940222,1.1573330681295173,green,F
27,output,L,1,20201119111615,0,2,8,10,1226,433,95.04735661763561,1.8087393224920654,green,F
28,output,L,1,20201119111615,0,2,9,10,1438,434,212.00235847744713,0.2702611064941363,green,F
29,output,L,1,20201119111615,1,2,0,10,342,858,67.26812023536856,11.142889858339318,green,L
30,output,L,1,20201119111615,1,2,1,10,408,871,67.26812023536856,11.142889858339318,green,L
31,output,L,1,20201119111615,1,2,2,10,484,876,76.16429609731846,3.764034864905718,green,F
32,output,L,1,20201119111615,1,2,3,10,648,897,165.33904560024533,7.296946153975157,green,F
33,output,L,1,20201119111615,1,2,4,10,734,901,86.09297300012354,2.6630007660671433,green,L
34,output,L,1,20201119111615,1,2,5,10,823,911,89.56003573022959,6.410840020232449,green,L
35,output,L,1,20201119111615,1,2,6,10,1011,919,188.17013578142522,2.436648246810131,green,F
36,output,L,1,20201119111615,1,2,7,10,1103,920,92.00543462209176,0.6227556872063182,green,F
