,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,1.0,1.0,0.0,1,0.0,1,0.0,1,R06C08-A,L,0,20200826113000,1,890,294
2,2.0,2.0,1.0,2,1.0,2,1.0,2,R06C08-A,L,0,20200826113000,2,1079,296
3,3.0,3.0,2.0,3,2.0,3,2.0,3,R06C08-A,L,0,20200826113000,3,1271,297
4,4.0,4.0,3.0,4,3.0,4,3.0,4,R06C08-A,L,0,20200826113000,4,982,299
5,5.0,5.0,4.0,5,4.0,5,4.0,5,R06C08-A,L,0,20200826113000,5,1357,299
6,6.0,6.0,5.0,6,5.0,6,5.0,6,R06C08-A,L,0,20200826113000,6,693,301
8,9.0,10.0,9.0,11,10.0,12,11.0,13,R06C08-A,L,0,20200826113000,13,700,795
9,10.0,11.0,10.0,12,11.0,13,12.0,14,R06C08-A,L,0,20200826113000,14,256,785
10,11.0,12.0,11.0,13,12.0,14,13.0,15,R06C08-A,L,0,20200826113000,15,337,788
11,12.0,13.0,12.0,14,13.0,15,14.0,16,R06C08-A,L,0,20200826113000,16,1090,790
12,13.0,14.0,13.0,15,14.0,16,15.0,17,R06C08-A,L,0,20200826113000,17,513,794
13,14.0,15.0,14.0,16,15.0,17,16.0,18,R06C08-A,L,0,20200826113000,18,605,794
14,15.0,16.0,15.0,17,16.0,18,17.0,19,R06C08-A,L,0,20200826113000,19,900,799
