,ruck_num,L/R,shoot_position,time_log,index_in_ruck,color,L/F,delete
1,R06C08-A,L,0,20200826113000,1,green,F,
2,R06C08-A,L,0,20200826113000,2,green,F,
3,R06C08-A,L,0,20200826113000,3,green,F,
4,R06C08-A,L,0,20200826113000,4,green,F,
5,R06C08-A,L,0,20200826113000,5,green,F,
6,R06C08-A,L,0,20200826113000,6,green,F,
8,R06C08-A,L,0,20200826113000,8,green,F,
9,R06C08-A,L,0,20200826113000,9,green,F,
10,R06C08-A,L,0,20200826113000,10,green,F,
11,R06C08-A,L,0,20200826113000,11,green,F,
12,R06C08-A,L,0,20200826113000,12,green,F,
13,R06C08-A,L,0,20200826113000,13,green,F,
14,R06C08-A,L,0,20200826113000,14,green,F,
15,R06C08-A,L,0,20200826113000,15,green,F,
16,R06C08-A,L,0,20200826113000,16,green,F,
17,R06C08-A,L,0,20200826113000,17,green,F,
18,R06C08-A,L,0,20200826113000,18,green,F,
19,R06C08-A,L,0,20200826113000,19,green,F,
20,R06C08-A,L,0,20200826113000,20,green,F,
