,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,x,y,color,LF
0,output,L,0,20201119111513,0.0,3.0,0.0,12.0,310,259,green,F
1,output,L,0,20201119111513,0.0,3.0,1.0,12.0,381,252,green,F
2,output,L,0,20201119111513,0.0,3.0,2.0,12.0,463,251,green,F
3,output,L,0,20201119111513,0.0,3.0,3.0,12.0,526,113,other,F
4,output,L,0,20201119111513,0.0,3.0,4.0,12.0,572,159,other,L
5,output,L,0,20201119111513,0.0,3.0,5.0,12.0,639,237,green,F
6,output,L,0,20201119111513,0.0,3.0,6.0,12.0,733,235,green,F
7,output,L,0,20201119111513,0.0,3.0,7.0,12.0,828,234,green,F
8,output,L,0,20201119111513,0.0,3.0,8.0,12.0,1034,229,green,F
9,output,L,0,20201119111513,0.0,3.0,9.0,12.0,1131,233,green,F
10,output,L,0,20201119111513,0.0,3.0,10.0,12.0,1239,229,green,F
11,output,L,0,20201119111513,0.0,3.0,11.0,12.0,1478,211,green,F
12,output,L,0,20201119111513,1.0,3.0,0.0,9.0,322,702,other,F
13,output,L,0,20201119111513,1.0,3.0,1.0,9.0,395,708,green,F
14,output,L,0,20201119111513,1.0,3.0,2.0,9.0,638,726,green,F
15,output,L,0,20201119111513,1.0,3.0,3.0,9.0,728,729,green,F
16,output,L,0,20201119111513,1.0,3.0,4.0,9.0,823,735,green,F
17,output,L,0,20201119111513,1.0,3.0,5.0,9.0,1019,742,green,F
18,output,L,0,20201119111513,1.0,3.0,6.0,9.0,1114,742,green,F
19,output,L,0,20201119111513,1.0,3.0,7.0,9.0,1208,743,green,F
20,output,L,0,20201119111513,1.0,3.0,8.0,9.0,1411,748,green,F
21,output,L,0,20201119111513,2.0,3.0,0.0,1.0,355,1092,green,F
22,output,L,1,20201119111615,0.0,2.0,0.0,10.0,319,433,green,F
23,output,L,1,20201119111615,0.0,2.0,1.0,10.0,388,431,green,L
24,output,L,1,20201119111615,0.0,2.0,2.0,10.0,467,430,green,L
25,output,L,1,20201119111615,0.0,2.0,3.0,10.0,641,426,green,L
26,output,L,1,20201119111615,0.0,2.0,4.0,10.0,732,425,green,L
27,output,L,1,20201119111615,0.0,2.0,5.0,10.0,828,426,green,L
28,output,L,1,20201119111615,0.0,2.0,6.0,10.0,1033,427,green,L
29,output,L,1,20201119111615,0.0,2.0,7.0,10.0,1131,430,green,L
30,output,L,1,20201119111615,0.0,2.0,8.0,10.0,1226,432,green,F
31,output,L,1,20201119111615,0.0,2.0,9.0,10.0,1438,432,green,L
32,output,L,1,20201119111615,1.0,2.0,0.0,10.0,342,858,green,F
33,output,L,1,20201119111615,1.0,2.0,1.0,10.0,408,871,green,F
34,output,L,1,20201119111615,1.0,2.0,2.0,10.0,484,875,green,F
35,output,L,1,20201119111615,1.0,2.0,3.0,10.0,648,896,green,F
36,output,L,1,20201119111615,1.0,2.0,4.0,10.0,734,901,green,F
37,output,L,1,20201119111615,1.0,2.0,5.0,10.0,823,910,green,F
38,output,L,1,20201119111615,1.0,2.0,6.0,10.0,1011,919,green,F
39,output,L,1,20201119111615,1.0,2.0,7.0,10.0,1104,920,green,F
40,output,L,1,20201119111615,1.0,2.0,8.0,10.0,1196,921,green,F
41,output,L,1,20201119111615,1.0,2.0,9.0,10.0,1403,935,green,F
42,output,L,2,20201119111717,0.0,3.0,0.0,6.0,320,148,green,F
43,output,L,2,20201119111717,0.0,3.0,1.0,6.0,394,142,green,F
44,output,L,2,20201119111717,0.0,3.0,2.0,6.0,478,139,green,F
45,output,L,2,20201119111717,0.0,3.0,3.0,6.0,657,124,green,F
46,output,L,2,20201119111717,0.0,3.0,4.0,6.0,750,120,green,F
47,output,L,2,20201119111717,0.0,3.0,5.0,6.0,1154,103,green,F
48,output,L,2,20201119111717,1.0,3.0,0.0,10.0,329,599,green,L
49,output,L,2,20201119111717,1.0,3.0,1.0,10.0,402,604,green,F
50,output,L,2,20201119111717,1.0,3.0,2.0,10.0,473,608,green,F
51,output,L,2,20201119111717,1.0,3.0,3.0,10.0,649,612,green,F
52,output,L,2,20201119111717,1.0,3.0,4.0,10.0,740,615,green,F
53,output,L,2,20201119111717,1.0,3.0,5.0,10.0,833,618,green,F
54,output,L,2,20201119111717,1.0,3.0,6.0,10.0,1033,623,green,F
55,output,L,2,20201119111717,1.0,3.0,7.0,10.0,1130,625,green,F
56,output,L,2,20201119111717,1.0,3.0,8.0,10.0,1227,626,green,F
57,output,L,2,20201119111717,1.0,3.0,9.0,10.0,1431,629,green,F
58,output,L,2,20201119111717,2.0,3.0,0.0,7.0,356,1006,green,L
59,output,L,2,20201119111717,2.0,3.0,1.0,7.0,430,1011,green,L
60,output,L,2,20201119111717,2.0,3.0,2.0,7.0,500,1024,green,L
61,output,L,2,20201119111717,2.0,3.0,3.0,7.0,658,1041,green,L
62,output,L,2,20201119111717,2.0,3.0,4.0,7.0,1004,1070,green,L
63,output,L,2,20201119111717,2.0,3.0,5.0,7.0,1095,1078,green,L
64,output,L,2,20201119111717,2.0,3.0,6.0,7.0,1184,1079,green,L
65,output,L,3,20201119111819,0.0,2.0,0.0,10.0,322,323,green,L
66,output,L,3,20201119111819,0.0,2.0,1.0,10.0,402,320,green,L
67,output,L,3,20201119111819,0.0,2.0,2.0,10.0,476,313,green,L
68,output,L,3,20201119111819,0.0,2.0,3.0,10.0,653,305,green,L
69,output,L,3,20201119111819,0.0,2.0,4.0,10.0,747,302,green,L
70,output,L,3,20201119111819,0.0,2.0,5.0,10.0,842,302,green,L
71,output,L,3,20201119111819,0.0,2.0,6.0,10.0,1045,303,green,L
72,output,L,3,20201119111819,0.0,2.0,7.0,10.0,1145,303,green,L
73,output,L,3,20201119111819,0.0,2.0,8.0,10.0,1242,305,green,L
74,output,L,3,20201119111819,0.0,2.0,9.0,10.0,1479,292,green,L
75,output,L,3,20201119111819,1.0,2.0,0.0,9.0,343,760,green,F
76,output,L,3,20201119111819,1.0,2.0,1.0,9.0,412,768,green,F
77,output,L,3,20201119111819,1.0,2.0,2.0,9.0,488,774,green,F
78,output,L,3,20201119111819,1.0,2.0,3.0,9.0,657,786,green,F
79,output,L,3,20201119111819,1.0,2.0,4.0,9.0,744,793,green,F
