,ruck_num,which_side,shoot_position,time_log,ramp_num,x,y,normal_color,normal_LF,current_color,current_LF,result
0,output,L,0,20201119111513,0,526,113,other,F,other,L,Error
1,output,L,0,20201119111513,1,572,159,other,L,other,L,N
2,output,L,0,20201119111513,2,1478,211,green,F,green,F,N
3,output,L,0,20201119111513,3,1034,229,green,F,green,F,N
4,output,L,0,20201119111513,4,1239,229,green,F,green,F,N
5,output,L,0,20201119111513,5,1130,233,green,F,green,F,N
6,output,L,0,20201119111513,6,733,235,green,F,green,F,N
7,output,L,0,20201119111513,7,828,234,green,F,green,F,N
8,output,L,0,20201119111513,8,639,237,green,F,green,F,N
9,output,L,0,20201119111513,9,463,251,green,F,green,F,N
10,output,L,0,20201119111513,10,381,252,green,F,green,F,N
11,output,L,0,20201119111513,11,310,259,green,F,green,F,N
12,output,L,0,20201119111513,12,322,701,green,F,green,F,N
13,output,L,0,20201119111513,13,395,708,green,F,green,F,N
14,output,L,0,20201119111513,14,468,714,green,F,green,F,N
15,output,L,0,20201119111513,15,551,720,green,F,OFF,-,Error
16,output,L,0,20201119111513,16,638,725,green,F,green,F,N
17,output,L,0,20201119111513,17,728,729,green,F,green,F,N
18,output,L,0,20201119111513,18,823,735,green,F,green,F,N
19,output,L,0,20201119111513,19,1019,742,green,F,green,F,N
20,output,L,0,20201119111513,20,1114,742,green,F,green,F,N
21,output,L,0,20201119111513,21,1208,742,green,F,green,F,N
22,output,L,0,20201119111513,22,1411,748,green,F,green,F,N
23,output,L,0,20201119111513,23,355,1092,green,F,green,F,N
24,output,L,1,20201119111615,0,732,425,green,L,green,L,N
25,output,L,1,20201119111615,1,641,426,green,L,green,L,N
26,output,L,1,20201119111615,2,828,426,green,L,green,L,N
27,output,L,1,20201119111615,3,1033,427,green,L,green,L,N
28,output,L,1,20201119111615,4,467,429,green,L,green,F,Error
29,output,L,1,20201119111615,5,388,431,green,L,green,L,N
30,output,L,1,20201119111615,6,1131,430,green,L,green,L,N
31,output,L,1,20201119111615,7,319,433,green,F,green,F,N
32,output,L,1,20201119111615,8,1226,432,green,F,green,F,N
33,output,L,1,20201119111615,9,342,858,green,F,green,L,Error
34,output,L,1,20201119111615,10,408,871,green,F,green,L,Error
35,output,L,1,20201119111615,11,484,875,green,F,green,L,Error
36,output,L,1,20201119111615,12,648,896,green,F,green,L,Error
37,output,L,1,20201119111615,13,734,901,green,F,green,L,Error
38,output,L,1,20201119111615,14,823,910,green,F,green,F,N
39,output,L,1,20201119111615,15,1011,919,green,F,green,L,Error
40,output,L,1,20201119111615,16,1104,920,green,F,green,L,Error
41,output,L,1,20201119111615,17,1196,921,green,F,green,L,Error
42,output,L,1,20201119111615,18,1403,935,green,F,green,L,Error
43,output,L,2,20201119111717,0,1154,103,green,F,green,F,N
44,output,L,2,20201119111717,1,750,120,green,F,green,F,N
45,output,L,2,20201119111717,2,657,124,green,F,green,L,Error
46,output,L,2,20201119111717,3,478,139,green,F,green,F,N
47,output,L,2,20201119111717,4,394,142,green,F,OFF,-,Error
48,output,L,2,20201119111717,5,320,148,green,F,green,F,N
49,output,L,2,20201119111717,6,329,599,green,L,green,L,N
50,output,L,2,20201119111717,7,402,604,green,F,green,F,N
51,output,L,2,20201119111717,8,473,608,green,F,green,F,N
52,output,L,2,20201119111717,9,649,612,green,F,green,F,N
53,output,L,2,20201119111717,10,740,615,green,F,green,L,Error
54,output,L,2,20201119111717,11,833,618,green,F,green,L,Error
55,output,L,2,20201119111717,12,1033,623,green,F,green,L,Error
56,output,L,2,20201119111717,13,1130,625,green,F,green,L,Error
57,output,L,2,20201119111717,14,1227,626,green,F,green,F,N
58,output,L,2,20201119111717,15,1431,629,green,F,green,F,N
59,output,L,2,20201119111717,16,356,1006,green,L,green,F,Error
60,output,L,2,20201119111717,17,430,1011,green,L,green,F,Error
61,output,L,2,20201119111717,18,500,1024,green,F,OFF,-,Error
62,output,L,2,20201119111717,19,658,1041,green,L,green,L,N
63,output,L,2,20201119111717,20,1003,1070,green,L,green,F,Error
64,output,L,2,20201119111717,21,1095,1078,green,L,green,F,Error
65,output,L,2,20201119111717,22,1184,1079,green,L,OFF,-,Error
66,output,L,3,20201119111819,0,747,302,green,F,green,L,Error
67,output,L,3,20201119111819,1,842,302,green,L,green,F,Error
68,output,L,3,20201119111819,2,1045,303,green,L,green,F,Error
69,output,L,3,20201119111819,3,1145,303,green,L,green,F,Error
70,output,L,3,20201119111819,4,653,304,green,L,green,F,Error
71,output,L,3,20201119111819,5,1242,304,green,L,OFF,-,Error
72,output,L,3,20201119111819,6,476,313,green,L,green,L,N
73,output,L,3,20201119111819,7,402,320,green,F,green,L,Error
74,output,L,3,20201119111819,8,322,323,green,L,green,L,N
75,output,L,3,20201119111819,9,343,760,green,F,green,F,N
76,output,L,3,20201119111819,10,412,768,green,F,green,F,N
77,output,L,3,20201119111819,11,488,774,green,F,OFF,-,Error
78,output,L,3,20201119111819,12,657,786,green,F,green,F,N
79,output,L,3,20201119111819,13,744,793,green,F,green,F,N
80,output,L,3,20201119111819,14,835,796,green,F,green,F,N
81,output,L,3,20201119111819,15,1028,804,green,F,green,F,N
82,output,L,3,20201119111819,16,1211,805,green,F,OFF,-,Error
83,output,L,3,20201119111819,17,1424,817,green,F,green,F,N
84,output,L,4,20201119111921,0,483,487,green,F,green,L,Error
85,output,L,4,20201119111921,1,658,486,green,L,green,L,N
86,output,L,4,20201119111921,2,751,486,green,L,green,L,N
87,output,L,4,20201119111921,3,847,487,green,F,green,L,Error
88,output,L,4,20201119111921,4,333,488,green,L,green,L,N
89,output,L,4,20201119111921,5,407,488,green,F,green,F,N
90,output,L,4,20201119111921,6,1047,490,green,F,green,L,Error
91,output,L,4,20201119111921,7,1146,492,green,F,green,L,Error
