,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,r,degree
0,output,L,0,20201119111513,310,259,0,6,0,1,0,0
1,output,L,0,20201119111513,381,252,1,6,0,1,0,0
2,output,L,0,20201119111513,463,251,2,6,0,1,0,0
3,output,L,0,20201119111513,526,113,3,6,0,9,65.05382386916237,45.0
4,output,L,0,20201119111513,572,159,3,6,1,9,102.82509421342633,49.3382667914282
5,output,L,0,20201119111513,639,237,3,6,2,9,94.02127418834527,-1.2188752351312977
6,output,L,0,20201119111513,733,235,3,6,3,9,95.00526301210897,-0.6030911943805325
7,output,L,0,20201119111513,828,234,3,6,4,9,206.0606706773517,-1.3904012640440198
8,output,L,0,20201119111513,1034,229,3,6,5,9,97.082439194738,2.36137465817562
9,output,L,0,20201119111513,1131,233,3,6,6,9,108.07404868885037,-2.1210963966614536
10,output,L,0,20201119111513,1239,229,3,6,7,9,239.67686580060246,-4.307032186002318
11,output,L,0,20201119111513,1478,211,3,6,8,9,0,0
12,output,L,0,20201119111513,322,702,4,6,0,9,73.24616030891995,4.69868051729944
13,output,L,0,20201119111513,395,708,4,6,1,9,243.6657546722559,4.23639479905884
14,output,L,0,20201119111513,638,726,4,6,2,9,90.0499861188218,1.9091524329963763
15,output,L,0,20201119111513,728,729,4,6,3,9,95.1892851112981,3.6138807520036442
16,output,L,0,20201119111513,823,735,4,6,4,9,196.1249601657066,2.0454084888872277
17,output,L,0,20201119111513,1019,742,4,6,5,9,95.0,0.0
18,output,L,0,20201119111513,1114,742,4,6,6,9,94.00531899844816,0.6095065766751959
19,output,L,0,20201119111513,1208,743,4,6,7,9,203.0615670184784,1.4109408203827343
20,output,L,0,20201119111513,1411,748,4,6,8,9,0,0
21,output,L,0,20201119111513,355,1092,5,6,0,1,0,0
22,output,L,1,20201119111615,319,433,0,6,0,1,0,0
23,output,L,1,20201119111615,388,431,1,6,0,3,838.0005966584988,0.06837201947086552
24,output,L,1,20201119111615,1226,432,1,6,1,3,212.0,0.0
