,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y,num_of_lamps,r,degree
0,output,L,0,20201119111513,0,3,0,310,259,10.0,71.34423592694787,-5.63068275763526
1,output,L,0,20201119111513,0,3,1,381,252,10.0,82.00609733428362,-0.6986943829834713
2,output,L,0,20201119111513,0,3,2,463,251,10.0,176.555940143627,-4.548042409125415
3,output,L,0,20201119111513,0,3,3,639,237,10.0,94.02127418834527,-1.2188752351312977
4,output,L,0,20201119111513,0,3,4,733,235,10.0,95.00526301210897,-0.6030911943805325
5,output,L,0,20201119111513,0,3,5,828,234,10.0,206.0606706773517,-1.3904012640440198
6,output,L,0,20201119111513,0,3,6,1034,229,10.0,97.082439194738,2.36137465817562
7,output,L,0,20201119111513,0,3,7,1131,233,10.0,108.07404868885037,-2.1210963966614536
8,output,L,0,20201119111513,0,3,8,1239,229,10.0,239.67686580060246,-4.307032186002318
9,output,L,0,20201119111513,0,3,9,1478,211,10.0,0,0
10,output,L,0,20201119111513,1,3,0,322,702,9.0,73.24616030891995,4.69868051729944
11,output,L,0,20201119111513,1,3,1,395,708,9.0,243.6657546722559,4.23639479905884
12,output,L,0,20201119111513,1,3,2,638,726,9.0,90.0499861188218,1.9091524329963763
13,output,L,0,20201119111513,1,3,3,728,729,9.0,95.1892851112981,3.6138807520036442
14,output,L,0,20201119111513,1,3,4,823,735,9.0,196.1249601657066,2.0454084888872277
15,output,L,0,20201119111513,1,3,5,1019,742,9.0,95.0,0.0
16,output,L,0,20201119111513,1,3,6,1114,742,9.0,94.00531899844816,0.6095065766751959
17,output,L,0,20201119111513,1,3,7,1208,743,9.0,203.0615670184784,1.4109408203827343
18,output,L,0,20201119111513,1,3,8,1411,748,9.0,0,0
19,output,L,0,20201119111513,2,3,0,355,1092,1.0,0,0
20,output,L,1,20201119111615,0,2,0,319,433,10.0,69.02897942168927,-1.6602823689828055
21,output,L,1,20201119111615,0,2,1,388,431,10.0,79.00632886041473,-0.725224299059252
22,output,L,1,20201119111615,0,2,2,467,430,10.0,174.04597093871493,-1.3169124057932626
23,output,L,1,20201119111615,0,2,3,641,426,10.0,91.00549433962765,-0.6295986084102668
24,output,L,1,20201119111615,0,2,4,732,425,10.0,96.00520819205592,0.5968094512291772
25,output,L,1,20201119111615,0,2,5,828,426,10.0,205.00243900988104,0.27948939054474353
26,output,L,1,20201119111615,0,2,6,1033,427,10.0,98.04590761474952,1.7534048600715397
27,output,L,1,20201119111615,0,2,7,1131,430,10.0,95.02105029939419,1.2060487792199577
28,output,L,1,20201119111615,0,2,8,1226,432,10.0,212.0,0.0
29,output,L,1,20201119111615,0,2,9,1438,432,10.0,0,0
30,output,L,1,20201119111615,1,2,0,342,858,10.0,67.26812023536856,11.142889858339318
31,output,L,1,20201119111615,1,2,1,408,871,10.0,76.10519036176179,3.0127875041833403
32,output,L,1,20201119111615,1,2,2,484,875,10.0,165.33904560024533,7.296946153975157
33,output,L,1,20201119111615,1,2,3,648,896,10.0,86.14522621712709,3.3274042417265695
34,output,L,1,20201119111615,1,2,4,734,901,10.0,89.45389874119518,5.774325902663275
35,output,L,1,20201119111615,1,2,5,823,910,10.0,188.2153022471871,2.7407905941825703
36,output,L,1,20201119111615,1,2,6,1011,919,10.0,93.00537618869137,0.6160599083992302
37,output,L,1,20201119111615,1,2,7,1104,920,10.0,92.00543462209176,0.6227556872063182
38,output,L,1,20201119111615,1,2,8,1196,921,10.0,207.4728897952694,3.869184576365422
39,output,L,1,20201119111615,1,2,9,1403,935,10.0,0,0
40,output,L,2,20201119111717,0,3,0,320,148,6.0,74.24284477308234,-4.635463426902643
41,output,L,2,20201119111717,0,3,1,394,142,6.0,84.0535543567314,-2.0454084888872277
42,output,L,2,20201119111717,0,3,2,478,139,6.0,179.62739212046696,-4.7901307223632275
43,output,L,2,20201119111717,0,3,3,657,124,6.0,93.08598175880189,-2.462816675916847
44,output,L,2,20201119111717,0,3,4,750,120,6.0,404.357515077932,-2.4095395317886092
45,output,L,2,20201119111717,0,3,5,1154,103,6.0,0,0
46,output,L,2,20201119111717,1,3,0,329,599,10.0,73.17103251970687,3.9182488640673765
47,output,L,2,20201119111717,1,3,1,402,604,10.0,71.11258679024411,3.2245226065199075
48,output,L,2,20201119111717,1,3,2,473,608,10.0,176.0454486773231,1.3019526725788753
49,output,L,2,20201119111717,1,3,3,649,612,10.0,91.0494371207203,1.8881880067409305
50,output,L,2,20201119111717,1,3,4,740,615,10.0,93.04837451562494,1.8476102659945959
51,output,L,2,20201119111717,1,3,5,833,618,10.0,200.06249023742558,1.4320961841646465
52,output,L,2,20201119111717,1,3,6,1033,623,10.0,97.02061636580135,1.181188913326638
53,output,L,2,20201119111717,1,3,7,1130,625,10.0,97.0051545022222,0.590657214646671
54,output,L,2,20201119111717,1,3,8,1227,626,10.0,204.02205763103166,0.8425242607404145
55,output,L,2,20201119111717,1,3,9,1431,629,10.0,0,0
56,output,L,2,20201119111717,2,3,0,356,1006,7.0,74.16872656315464,3.865461169851747
57,output,L,2,20201119111717,2,3,1,430,1011,7.0,71.19691004531025,10.520784313874362
58,output,L,2,20201119111717,2,3,2,500,1024,7.0,158.91192529196795,6.141110616876805
59,output,L,2,20201119111717,2,3,3,658,1041,7.0,347.21319099366025,4.791049380342483
60,output,L,2,20201119111717,2,3,4,1004,1070,7.0,91.35097153287424,5.024075258539548
61,output,L,2,20201119111717,2,3,5,1095,1078,7.0,89.00561780022652,0.6437457141753808
62,output,L,2,20201119111717,2,3,6,1184,1079,7.0,0,0
63,output,L,3,20201119111819,0,2,0,322,323,10.0,80.05623023850174,-2.147585428298503
64,output,L,3,20201119111819,0,2,1,402,320,10.0,74.33034373659252,-5.403791360249714
65,output,L,3,20201119111819,0,2,2,476,313,10.0,177.18069872308325,-2.587878507405314
66,output,L,3,20201119111819,0,2,3,653,305,10.0,94.04786015641186,-1.827968244305005
67,output,L,3,20201119111819,0,2,4,747,302,10.0,95.0,0.0
68,output,L,3,20201119111819,0,2,5,842,302,10.0,203.00246303924493,0.2822429362708571
69,output,L,3,20201119111819,0,2,6,1045,303,10.0,100.0,0.0
