,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,L,3,20201119111819,0.0,2.0,0.0,322,323
1,output,L,3,20201119111819,0.0,2.0,1.0,402,320
2,output,L,3,20201119111819,0.0,2.0,2.0,476,313
3,output,L,3,20201119111819,0.0,2.0,3.0,653,305
4,output,L,3,20201119111819,0.0,2.0,4.0,747,302
5,output,L,3,20201119111819,0.0,2.0,5.0,842,302
6,output,L,3,20201119111819,0.0,2.0,6.0,1045,303
7,output,L,3,20201119111819,0.0,2.0,7.0,1145,303
8,output,L,3,20201119111819,0.0,2.0,8.0,1242,305
9,output,L,3,20201119111819,0.0,2.0,9.0,1479,292
10,output,L,3,20201119111819,1.0,2.0,0.0,343,760
11,output,L,3,20201119111819,1.0,2.0,1.0,412,768
12,output,L,3,20201119111819,1.0,2.0,2.0,488,774
13,output,L,3,20201119111819,1.0,2.0,3.0,657,786
14,output,L,3,20201119111819,1.0,2.0,4.0,744,793
15,output,L,3,20201119111819,1.0,2.0,5.0,835,796
16,output,L,3,20201119111819,1.0,2.0,6.0,1028,804
17,output,L,3,20201119111819,1.0,2.0,7.0,1211,805
18,output,L,3,20201119111819,1.0,2.0,8.0,1424,817
